0 giờ 2 phút	lý tuấn kiệt	0-gio-2-phut-ly-tuan-kiet
nửa đêm ngoài phố	minh tiến	nua-dem-ngoai-pho-minh-tien
nửa đêm ngoài phố	mỹ huyền	nua-dem-ngoai-pho-my-huyen
nửa đêm ngoài phố	ngô viết trung	nua-dem-ngoai-pho-ngo-viet-trung
nửa đêm ngoài phố	nguyễn phú quí	nua-dem-ngoai-pho-nguyen-phu-quy
nửa đêm ngoài phố	nguyên sang	nua-dem-ngoai-pho-nguyen-sang
nữa đêm ngoài phố	như hảo	nua-dem-ngoai-pho-nhu-hao
nửa đêm ngoài phố	như hoa	nua-dem-ngoai-pho-nhu-hoa
nửa đêm ngoài phố	quang thành	nua-dem-ngoai-pho-quang-thanh
nửa đêm ngoài phố	quỳnh lê	nua-dem-ngoai-pho-quynh-le
nửa đêm ngoài phố	thái thanh hiệp	nua-dem-ngoai-pho-thai-thanh-hiep
nửa đêm ngoài phố	thu thương	nua-dem-ngoai-pho-thu-thuong
nửa đêm ngoài phố	thùy trang huỳnh	nua-dem-ngoai-pho-thuy-trang-huynh
nửa đêm ngoài phố	tiết duy hòa	nua-dem-ngoai-pho-duy-hoa
nửa đêm ngoài phố	trang mỹ dung	nua-dem-ngoai-pho-trang-my-dung
nửa đêm ngoài phố	trọng hiền	nua-dem-ngoai-pho-trong-hien
nửa đêm ngoài phố	trường bảo	nua-dem-ngoai-pho-truong-bao
nửa đêm ngoài phố	trương phi hùng	nua-dem-ngoai-pho-truong-phi-hung
nửa đêm ngoài phố	vũ thùy tiên	nua-dem-ngoai-pho-vu-thuy-tien
nửa đêm ngoài phố	yên nhiên	nua-dem-ngoai-pho-yen-nhien
nửa đêm ngoài phố, người ngoài phố	khánh lâm tuấn quỳnh	nua-dem-ngoai-pho-nguoi-ngoai-pho-khanh-lam-tuan-quynh
nửa đêm nguyện cầu	kim thư trường sơn	nua-dem-nguyen-cau-truong-son-kim-thu
nữa đêm thương nhớ	lý thanh thảo	nua-dem-thuong-nho-ly-thanh-thao
nửa đêm thương nhớ	tâm phương anh	nua-dem-thuong-nho-tam-phuong-anh
nửa đêm thương nhớ	thạch thảo vũ hoàng	nua-dem-thuong-nho-vu-hoang-thach-thao
nửa điều ước cuối	huỳnh nhã lâm	nua-dieu-uoc-cuoi-huynh-nha-lam
nửa đoạn tình buồn mộng	duy quang	nua-doan-tinh-buon-mong-duy-quang
nửa đời hương phấn	nhiều nghệ sĩ	nua-doi-huong-phan-thanh-nga-bach-tuyet-hong-nga-ut-tra-on-diep-lang-phuong-quang
nửa đời hương phấn trđ	nhiều nghệ sĩ	nua-doi-huong-phan-trd-thanh-nga-bach-tuyet-hong-nga-ut-tra-on-diep-lang-phuong-quang
nửa đời lầm tin	trinh tuyết hương	nua-doi-lam-tin-trinh-tuyet-huong
nữa đời mang theo	quách tuấn du	nua-doi-mang-theo-quach-tuan-du
nửa đời mang theo	quách tuấn du	nua-doi-mang-theo-quach-tuan-du
nửa đời mang theo (remix)	quách tuấn du	nua-doi-mang-theo-remix-quach-tuan-du
nửa đời phóng đãng	cẩm vân	nua-doi-phong-dang-cam-van
nửa đời phóng đãng	duy quang	nua-doi-phong-dang-duy-quang
nửa hồn thương đau	bảo yến	nua-hon-thuong-dau-bao-yen
nửa hồn thương đau	don hồ lâm thúy vân	nua-hon-thuong-dau-don-ho-lam-thuy-van
nữa hồn thương đau	đức long	nua-hon-thuong-dau-duc-long
nửa hồn thương đau	dương triệu vũ	nua-hon-thuong-dau-duong-trieu-vu
nửa hồn thương đau	gobi vũ	nua-hon-thuong-dau-dang-nguyen-gobi
nửa hồn thương đau	họa mi	nua-hon-thuong-dau-hoa-mi
nửa hồn thương đau	hồng mơ	nua-hon-thuong-dau-hong-mo
nửa hồn thương đau	linh linh	nua-hon-thuong-dau-linh-linh
nửa hồn thương đau	minh huyền (nsưt)	nua-hon-thuong-dau-minh-huyen
nửa hồn thương đau	ngọc anh	nua-hon-thuong-dau-ngoc-anh
nửa hồn thương đau	nguyên sang	nua-hon-thuong-dau-nguyen-sang
nửa hồn thương đau	quang sơn	nua-hon-thuong-dau-quang-son
nửa hồn thương đau	thanh lam	nua-hon-thuong-dau-thanh-lam
nửa hồn thương đau - thói đời (live)	đăng nguyên	nua-hon-thuong-dau-thoi-doi-live-dang-nguyen
nửa kia đời tôi	thy dung	nua-kia-doi-toi-thy-dung
nửa linh hồn thương đau	nam cường	nua-linh-hon-thuong-dau-nam-cuong
nửa mảnh khăn rằn	bạch tuyết	nua-manh-khan-ran-bach-tuyet
nửa mảnh tình sâu	đinh thiên hương	nua-manh-tinh-sau-dinh-thien-huong
nửa riêng tôi	hồ trung dũng	nua-rieng-toi-ho-trung-dung
nửa trái tim	thanh thanh	nua-trai-tim-thanh-thanh
nửa trái tim (song ca)	minh thuận nhật hào	nua-trai-tim-song-ca-minh-thuan-nhat-hao
nửa trái tim tội nghiệp	hoàng tấn phương	nua-trai-tim-toi-nghiep-hoang-tan-phuong
nửa trái tim tội nghiệp	kelly nhàn	nua-trai-tim-toi-nghiep-kelly-nhan
nửa trái tim tội nghiệp	lê tường vy	nua-trai-tim-toi-nghiep-le-tuong-vy
nửa trái tim yêu người	quang dũng	nua-trai-tim-yeu-nguoi-quang-dung
nữa vầng trăng	giao thời	nua-vang-trang-giao-thoi
nửa vầng trăng	hương ngọc vân	nua-vang-trang-huong-ngoc-van
nửa vầng trăng	quỳnh vi trịnh lam	nua-vang-trang-quynh-vi-trinh-lam
nửa vầng trăng	song giang	nua-vang-trang-song-giang
nửa vầng trăng	tường khuê tường nguyên	nua-vang-trang-tuong-nguyen-tuong-khue
nửa vầng trăng (remix)	nguyễn phương trang	nua-vang-trang-remix-nguyen-phuong-trang
nửa vầng trăng (remix)	tuấn tú	nua-vang-trang-remix-tuan-tu-tuan-anh-2
nửa vầng trăng 2	a tuân	nua-vang-trang-2-a-tuan
nửa yêu thương đánh mất	hải âu	nua-yeu-thuong-danh-mat-hai-au
núi đôi	nguyễn thị luận tô tấn loan	nui-doi-to-tan-loan-nguyen-thi-luan
núi thánh cát minh	lm.xuân đường	nui-thanh-cat-minh-lm-xuan-duong
núm ruột quê hương	nsưt thanh ngân thanh tuấn	num-ruot-que-huong-nsut-thanh-ngan-thanh-tuan
number nine (remix)	kim ny ngọc	number-nine-remix-kim-ny-ngoc
nựng nựng nà nà	bé triệu vy	nung-nung-na-na-be-trieu-vy
nước cuốn hoa trôi	bảo vân	nuoc-cuon-hoa-troi-bao-van
nước cuốn hoa trôi	thu cúc	nuoc-cuon-hoa-troi-thu-cuc
nước lớn nước ròng	thanh danh	nuoc-lon-nuoc-rong-thanh-danh
nước mặn miền tây	sơn hạ đan phương	nuoc-man-mien-tay-dan-phuong-son-ha
nước mặn miền tây	văn hương	nuoc-man-mien-tay-van-huong
nước mắt	bb thy	nuoc-mat-bb-thy
nước mắt	cao thái sơn	nuoc-mat-cao-thai-son
nước mắt	chí thiện mai fin	nuoc-mat-chi-thien-mai-fin
nước mắt	kim anh	nuoc-mat-kim-anh
nước mắt	mr reno	nuoc-mat-mr-reno
nước mắt	nguyễn đức cường	nuoc-mat-nguyen-duc-cuong
nước mắt	phương thanh	nuoc-mat-phuong-thanh
nước mắt	trần tuấn lương	nuoc-mat-tran-tuan-luong
nước mắt (edm version)	hà thúy anh	nuoc-mat-edm-version-ha-thuy-anh
nước mắt (kiss the rain)	lưu trường hải	nuoc-mat-kiss-the-rain-luu-truong-hai
nước mắt (piano version)	chí thiện	nuoc-mat-piano-version-chi-thien
nước mắt anh	nghiêm viết dũng	nuoc-mat-anh-nghiem-viet-dung
nước mắt anh rơi	hồ quốc việt lương thế minh	nuoc-mat-anh-roi-ho-quoc-viet-luong-the-minh
nước mắt anh rơi	vương bảo khang	nuoc-mat-anh-roi-vuong-bao-khang
nước mắt anh rơi trò chơi kết thúc	kim quang hải	nuoc-mat-anh-roi-tro-choi-ket-thuc-kim-quang-hai
nước mắt ấy không dành cho em	thiên trường	nuoc-mat-ay-khong-danh-cho-em-thien-truong
nước mắt biệt ly	đỗ tú tài	nuoc-mat-biet-ly-do-tu-tai
nước mắt buông xuôi	triệu hồng ngọc	nuoc-mat-buong-xuoi-trieu-hong-ngoc
nước mắt chảy ngược	lê bảo bình	nuoc-mat-chay-nguoc-le-bao-binh
nước mắt chảy ngược	thái  nhật tân	nuoc-mat-chay-nguoc-thai-nhat-tan
nước mắt chảy thành sông	lưu nhật hào	nuoc-mat-chay-thanh-song-luu-nhat-hao
nước mắt chết	diby	nuoc-mat-chet-diby
nước mắt chia đôi	dương thiên minh	nuoc-mat-chia-doi-duong-thien-minh
nước mắt chia xa	đăng khôi	nuoc-mat-chia-xa-dang-khoi
nước mắt chiều mưa	lê minh huy	nuoc-mat-chieu-mua-le-minh-huy
nước mắt cho anh	tiểu doanh	nuoc-mat-cho-anh-tieu-doanh
nước mắt cho tình yêu	anh trường	nuoc-mat-cho-tinh-yeu-anh-truong
nước mắt cho tình yêu	đoàn việt phương	nuoc-mat-cho-tinh-yeu-doan-viet-phuong
nước mắt cho tình yêu	lương gia huy	nuoc-mat-cho-tinh-yeu-luong-gia-huy
nước mắt có vị gì	lê tính	nuoc-mat-co-vi-gi-le-tinh
nước mắt của mẹ	châu khải phong	nuoc-mat-cua-me-chau-khai-phong
nước mắt của nỗi đau	thiên dũng	nuoc-mat-cua-noi-dau-thien-dung
nước mắt của nỗi đau	trịnh thiên ân	nuoc-mat-cua-noi-dau-trinh-thien-an
nước mắt của tình yêu	đặng gia phúc	nuoc-mat-cua-tinh-yeu-dang-gia-phuc
nước mắt đàn ông	minh béo	nuoc-mat-dan-ong-minh-beo
nước mắt đêm	đàm vĩnh hưng	nuoc-mat-dem-dam-vinh-hung
nước mắt đêm đông (remix)	khang dương	nuoc-mat-dem-dong-remix-khang-duong
nước mắt đêm mưa	the men thu thủy	nuoc-mat-dem-mua-thu-thuy-the-men
nước mắt đêm thâu	lương tùng quang	nuoc-mat-dem-thau-luong-tung-quang
nước mắt đêm thâu	nhật kim anh	nuoc-mat-dem-thau-nhat-kim-anh
nước mắt đêm thâu	thanh ngọc	nuoc-mat-dem-thau-thanh-ngoc
nước mắt đêm thâu (ballad)	hải nguyên	nuoc-mat-dem-thau-ballad-hai-nguyen
nước mắt đêm thâu (dance)	hải nguyên	nuoc-mat-dem-thau-dance-hai-nguyen
nước mắt đêm từng đêm	lạc thiên	nuoc-mat-dem-tung-dem-lac-thien
nước mắt đổi lấy nụ cười	du thiên	nuoc-mat-doi-lay-nu-cuoi-du-thien
nước mắt đơn phương	lâm chấn huy	nuoc-mat-don-phuong-lam-chan-huy
nước mắt em lau bằng tình yêu mới (cover)	ann dâu	nuoc-mat-em-lau-bang-tinh-yeu-moi-cover-ann-dau
nước mắt em rơi	hoàng thiên trang	nuoc-mat-em-roi-hoang-thien-trang
nước mắt giang hồ	phú tiến phú	nuoc-mat-giang-ho-phu-tien-phu
nước mắt hải âu	akira phan thủy tiên	nuoc-mat-hai-au-akira-phan-thuy-tien
nước mắt hai màu	lê sơn tùng	nuoc-mat-hai-mau-le-son-tung
nước mắt hai màu	phương tử long	nuoc-mat-hai-mau-phuong-tu-long
nước mắt hai thế giới	kim thư phùng ngọc huy	nuoc-mat-hai-the-gioi-kim-thu-phung-ngoc-huy
nước mắt hai thế giới	phùng ngọc huy	nuoc-mat-hai-the-gioi-kim-thu-an-phung-ngoc-huy
nước mắt hai vì sao	hoàng minh hiệp	nuoc-mat-hai-vi-sao-hoang-minh-hiep
nước mắt hạnh phúc	huyền thoại	nuoc-mat-hanh-phuc-huyen-thoai
nước mắt hạnh phúc	nguyên khôi	nuoc-mat-hanh-phuc-nguyen-khoi
nước mắt hẹn thề	tuấn nghĩa	nuoc-mat-hen-the-tuan-nghia
nước mắt họa bì	hoàng châu	nuoc-mat-hoa-bi-hoang-chau
nước mắt họa bì (nonstop)	hoàng châu	nuoc-mat-hoa-bi-nonstop-hoang-chau
nước mắt họa bì (remix) (liveshow)	hoàng châu	nuoc-mat-hoa-bi-remix-liveshow-hoang-chau
nước mắt hóa đá	lương bích hữu	nuoc-mat-hoa-da-luong-bich-huu
nước mắt hòa mưa	andyshin	nuoc-mat-hoa-mua-andyshin
nước mắt hòa mưa	lyna thùy linh	nuoc-mat-hoa-mua-lyna-thuy-linh
nước mắt học trò	đường hưng	nuoc-mat-hoc-tro-duong-hung-tam-ho
nước mắt không biết nói dối	lyna thùy linh	nuoc-mat-khong-biet-noi-doi-lyna-thuy-linh
nước mắt không giữ được anh	đoàn khánh lam	nuoc-mat-khong-giu-duoc-anh-doan-khanh-lam
nước mắt không màu	tam hổ	nuoc-mat-khong-mau-tam-ho
nước mắt lặng im	hot boy xăm trổ (hoàng anh lê)	nuoc-mat-lang-im-hoang-anh-le
nước mắt màu mưa	danh thuận	nuoc-mat-mau-mua-danh-thuan
nước mắt mẹ hiền	anh trường	nuoc-mat-me-hien-anh-truong
nước mắt mẹ hiền	chubi trần	nuoc-mat-me-hien-chubi-tran
nước mắt mẹ hiền	đoàn nhật phương	nuoc-mat-me-hien-doan-nhat-phuong
nước mắt mẹ hiền	hoàng tú minh	nuoc-mat-me-hien-hoang-tu-minh
nước mắt mẹ hiền	khánh duy khương ngô quốc linh	nuoc-mat-me-hien-khanh-duy-khuong-ngo-quoc-linh
nước mắt mẹ hiền	lâm hoàng nghĩa	nuoc-mat-me-hien-lam-hoang-nghia
nước mắt mẹ hiền	lâm ngọc huỳnh	nuoc-mat-me-hien-lam-ngoc-huynh
nước mắt mẹ hiền	lâm ngọc huỳnh ngọc sơn	nuoc-mat-me-hien-lam-ngoc-huynh-ngoc-son
nước mắt mẹ hiền	lê sang	nuoc-mat-me-hien-le-sang
nước mắt mẹ hiền	mai khen duy	nuoc-mat-me-hien-mai-khen-duy
nước mắt mẹ hiền	ngọc anh	nuoc-mat-me-hien-ngoc-anh
nước mắt mẹ hiền	triệu hùng	nuoc-mat-me-hien-trieu-hung
nước mắt mẹ hiền	trường sơn	nuoc-mat-me-hien-truong-son
nước mắt mẹ hiền	tuấn tú	nuoc-mat-me-hien-tuan-tu-tuan-anh-2
nước mắt mẹ tôi	ngọc hải	nuoc-mat-me-toi-ngoc-hai
nước mắt miền trung	triệu hùng	nuoc-mat-mien-trung-trieu-hung
nước mắt một linh hồn	phương hồng quế	nuoc-mat-mot-linh-hon-phuong-hong-que
nước mắt mùa đông	châu chí hào	nuoc-mat-mua-dong-chau-chi-hao
nước mắt mùa đông	k6	nuoc-mat-mua-dong-k6
nước mắt mùa đông	nam du	nuoc-mat-mua-dong-nam-du
nước mắt mùa đông	việt my	nuoc-mat-mua-dong-viet-my
nước mắt mùa thu	đình bình	nuoc-mat-mua-thu-dinh-binh
nước mắt muộn màng	bảo yến	nuoc-mat-muon-mang-bao-yen
nước mắt muộn màng	đàm vĩnh hưng	nuoc-mat-muon-mang-dam-vinh-hung
nước mắt muộn màng	gia huy	nuoc-mat-muon-mang-gia-huy
nước mắt muộn màng	lương thế minh	nuoc-mat-muon-mang-luong-the-minh
nước mắt muộn màng	phan đinh tùng	nuoc-mat-muon-mang-phan-dinh-tung
nước mắt nàng kiều	khánh phương	nuoc-mat-nang-kieu-khanh-phuong
nước mắt ngày vu quy	bằng cường	nuoc-mat-ngay-vu-quy-bang-cuong
nước mắt ngược vào tim	đồng thanh tâm	nuoc-mat-nguoc-vao-tim-dong-thanh-tam
nước mắt người cô đơn	lâm chu min	nuoc-mat-nguoi-co-don-lam-chu-min
nước mắt người con gái	la nhật tiến	nuoc-mat-nguoi-con-gai-la-nhat-tien
nước mắt người thương	thái lan viên	nuoc-mat-nguoi-thuong-thai-lan-vien
nước mắt nhân tình	lý hải	nuoc-mat-nhan-tinh-ly-hai
nước mắt nhiều hơn mưa	huyền thoại	nuoc-mat-nhieu-hon-mua-huyen-thoai
nước mắt nhiều hơn mưa	sky nguyễn	nuoc-mat-nhieu-hon-mua-sky-nguyen
nước mắt nhiều hơn mưa (remix)	sky nguyễn	nuoc-mat-nhieu-hon-mua-remix-sky-nguyen
nước mắt nhuộm màu	luân ken	nuoc-mat-nhuom-mau-luan-ken
nước mắt noel	jan saker ladytrang	nuoc-mat-noel-jan-saker-ladytrang
nước mắt nơi anh	mr.zin tùng zon	nuoc-mat-noi-anh-tung-zon-mr-zin
nước mắt nơi thiên đường	3k band	nuoc-mat-noi-thien-duong-3k-band
nước mắt nơi tim anh	hiếu bon mr. saker	nuoc-mat-noi-tim-anh-hieu-bon-mr-saker
nước mắt pha lê	trâm anh	nuoc-mat-pha-le-tram-anh
nước mắt pha lê remix	hiền thục	nuoc-mat-pha-le-remix-hien-thuc
nước mắt phận hồng nhan	hoàng mai trang	nuoc-mat-phan-hong-nhan-hoang-mai-trang
nước mắt quá khứ	văn tiến luật	nuoc-mat-qua-khu-van-tien-luat
nước mắt ra đi	tonny việt	nuoc-mat-ra-di-tonny-viet
nước mắt ra đi	triệu trang	nuoc-mat-ra-di-trieu-trang
nước mắt rơi	thiên trường	nuoc-mat-roi-thien-truong
nước mắt rơi theo mưa	quách thành danh	nuoc-mat-roi-theo-mua-quach-thanh-danh
nước mắt rơi theo thời gian	kenny huỳnh	nuoc-mat-roi-theo-thoi-gian-kenny-huynh
nước mắt sau nụ cười	lâm chấn kiệt	nuoc-mat-sau-nu-cuoi-lam-chan-kiet
nước mắt sau nụ cười	trương khải minh	nuoc-mat-sau-nu-cuoi-truong-khai-minh
nước mắt sau nụ cười (dj phan hiếu remix)	trương khải minh	nuoc-mat-sau-nu-cuoi-dj-phan-hieu-remix-truong-khai-minh
nước mắt sau nụ cười remix	trương khải minh	nuoc-mat-sau-nu-cuoi-remix-truong-khai-minh
nước mắt sẽ cạn khô	thiên trường	nuoc-mat-se-can-kho-thien-truong
nước mắt tan	hải nguyên	nuoc-mat-tan-hai-nguyen
nước mắt tan trong mưa	hiếu bon	nuoc-mat-tan-trong-mua-hieu-bon
nước mắt thần tình yêu	tần khánh	nuoc-mat-than-tinh-yeu-tan-khanh
nước mắt thằng hề (remix version 2011)	dương 565	nuoc-mat-thang-he-remix-version-2011-duong-565
nước mắt thằng hề remix	dương 565	nuoc-mat-thang-he-remix-duong-565
nước mắt thằng hề remix	phương khiết anh	nuoc-mat-thang-he-remix-phuong-khiet-anh
nước mắt theo màn mưa	hồ quang hiếu	nuoc-mat-theo-man-mua-ho-quang-hieu
nước mắt thiên thần	bùi caroon	nuoc-mat-thien-than-bui-caroon
nước mắt thiên thần	ngô thanh vân	nuoc-mat-thien-than-ngo-thanh-van
nước mắt thiên thu	điền thái toàn	nuoc-mat-thien-thu-dien-thai-toan
nước mắt thôi rơi	nam hùng	nuoc-mat-thoi-roi-nam-hung
nước mắt trên phím đàn	khắc dũng	nuoc-mat-tren-phim-dan-khac-dung
nước mắt trong mưa	dương triệu luân	nuoc-mat-trong-mua-duong-trieu-luan
nước mắt trong mưa	nam hùng	nuoc-mat-trong-mua-nam-hung
nước mắt trong tim	đào mạnh hùng	nuoc-mat-trong-tim-dao-manh-hung
nước mắt trong tim	đinh thiên long	nuoc-mat-trong-tim-dinh-thien-long
nước mắt trong tim	đỗ xuân sơn	nuoc-mat-trong-tim-do-xuan-son
nước mắt trong tim	thanh trúc	nuoc-mat-trong-tim-thanh-truc
nước mắt trong tim anh	vương bảo khang	nuoc-mat-trong-tim-anh-vuong-bao-khang
nước mắt tự nhiên rơi	ngô trác lâm	nuoc-mat-tu-nhien-roi-ngo-trac-lam
nước mắt từ trong tim	dương nhất hưng lê huy	nuoc-mat-tu-trong-tim-duong-nhat-hung-le-huy
nước mắt từ trong tim	hoàng hưng	nuoc-mat-tu-trong-tim-hoang-hung
nước mắt từ trong tim	hoàng hưng phan hoàng tâm	nuoc-mat-tu-trong-tim-phan-hoang-tam-hoang-hung
nước mắt từ trong tim	lý hải	nuoc-mat-tu-trong-tim-ly-hai
nước mắt từ trong tim	phan hoàng tâm	nuoc-mat-tu-trong-tim-hoang-tam
nước mắt từ trong tim	thái thư	nuoc-mat-tu-trong-tim-thai-thu
nước mắt và mưa rơi	nami	nuoc-mat-va-mua-roi-nami
nước mắt và nụ cười	quách an an	nuoc-mat-va-nu-cuoi-quach-an-an
nước mắt vì sao rơi	châu khải phong	nuoc-mat-vi-sao-roi-chau-khai-phong
nước mắt vì sao rơi	khánh phương	nuoc-mat-vi-sao-roi-khanh-phuong
nước mắt vô hình	minh tuyết	nuoc-mat-vo-hinh-minh-tuyet
nước mắt vô nghĩa	trương quỳnh anh	nuoc-mat-vo-nghia-truong-quynh-anh
nước mắt vô tội	tiay	nuoc-mat-vo-toi-tiay
nước mắt xin đừng rơi	akira phan jolly nguyễn	nuoc-mat-xin-dung-roi-akira-phan-jolly-nguyen
nước mắt yêu	hải nguyên	nuoc-mat-yeu-hai-nguyen
nước ngoài (cover)	trịnh tú trung	nuoc-ngoai-cover-trinh-tu-trung
nước sông chảy mãi (bản cũ)	la sương sương minh thuận	nuoc-song-chay-mai-ban-cu-minh-thuan-la-suong-suong
nước tràn ly	lưu chí vỹ	nuoc-tran-ly-luu-chi-vy
nước trong nguồn	trương tâm nhi	nuoc-trong-nguon-truong-tam-nhi
nuôi con mới biết lòng cha mẹ	trần phi sơn	nuoi-con-moi-biet-long-cha-me-tran-phi-son
nuối tiếc	đàm vĩnh hưng	nuoi-tiec-dam-vinh-hung
nuối tiếc	diệp thanh thanh	nuoi-tiec-diep-thanh-thanh
nuối tiếc	hồ tuấn anh	nuoi-tiec-ho-tuan-anh
nuối tiếc	hoài nam như hảo	nuoi-tiec-nhu-hao-hoai-nam
nuối tiếc	nam nguyễn	nuoi-tiec-nam-nguyen
nuối tiếc	quang hà	nuoi-tiec-quang-ha
nuối tiếc	quỳnh vi trịnh lam	nuoi-tiec-quynh-vi-trinh-lam
nuối tiếc	trịnh nam sơn ái vân	nuoi-tiec-ai-van-trinh-nam-son
nuối tiếc	zina bya	nuoi-tiec-zina-bya
nuối tiếc một cuộc tình	elbi	nuoi-tiec-mot-cuoc-tinh-elbi
nuối tiếc một cuộc tình	lâm vũ	nuoi-tiec-mot-cuoc-tinh-lam-vu
nuối tiếc một đời	y jalin	nuoi-tiec-mot-doi-y-jalin
nuối tiếc một vòng tay	nguyễn hoàng duy thu thủy	nuoi-tiec-mot-vong-tay-thu-thuy-nguyen-hoang-duy
nuối tiếc muộn màng	nguyễn đông	nuoi-tiec-muon-mang-nguyen-dong
nướng nướng nướng	hkt	nuong-nuong-nuong-hkt
nương tử	anh khang	nuong-tu-anh-khang
nupakachi (live hòa âm ánh sáng 2016)	ngô kiến huy	nupakachi-live-hoa-am-anh-sang-2016-ngo-kien-huy
ở bên em	băng tình	o-ben-em-bang-tinh
ở bên em không chỉ riêng anh	ngô huy đồng	o-ben-em-khong-chi-rieng-anh-ngo-huy-dong
ở bên người ở bên anh	nguyên chấn phong	o-ben-nguoi-o-ben-anh-nguyen-chan-phong
ở chân trời xa	nhật tinh anh	o-chan-troi-xa-nhat-tinh-anh
ô cửa kính	hoàng thiên minh trị	o-cua-kinh-hoang-thien-minh-tri
ô cửa sổ, cô gái, phụ nữ và phận đàn bà	ling	o-cua-so-co-gai-phu-nu-va-phan-dan-ba-ling
ở đâu bán hạnh phúc	trần ánh huy	o-dau-ban-hanh-phuc-tran-anh-huy
ở đầu cũng có em	ngọc hạ trần thái hòa	o-dau-cung-co-em-tran-thai-hoa-ngoc-ha
ở dưới quê mới lên	khắc quốc hải	o-duoi-que-moi-len-khac-quoc-hai
ở dưới quê mới lên	trường sơn	o-duoi-que-moi-len-truong-son
ở dưới quê mới lên (remix)	trường sơn	o-duoi-que-moi-len-remix-truong-son
ở giá	lương gia huy	o-gia-luong-gia-huy
ở hai đầu nổi nhớ	đan phương	o-hai-dau-noi-nho-dan-phuong
ở hai đầu nỗi nhớ	khắc quốc hải	o-hai-dau-noi-nho-khac-quoc-hai
ở hai đầu nỗi nhớ	lê ngọc thúy	o-hai-dau-noi-nho-le-ngoc-thuy
ở hai đầu nỗi nhớ	minh huyền (nsưt)	o-hai-dau-noi-nho-minh-huyen-nsut
ở hai đầu nỗi nhớ	ngô quốc linh	o-hai-dau-noi-nho-ngo-quoc-linh
ở hai đầu nỗi nhớ	nguyên sang	o-hai-dau-noi-nho-nguyen-sang
ở hai đầu nỗi nhớ	phương dung	o-hai-dau-noi-nho-phuong-dung
ở hai đầu nỗi nhớ	quang hào	o-hai-dau-noi-nho-quang-hao
ở hai đầu nỗi nhớ	thu hiền	o-hai-dau-noi-nho-thu-hien
ở hai đầu nỗi nhớ	triệu minh	o-hai-dau-noi-nho-trieu-minh
ở hai đầu nỗi nhớ	trọng tấn	o-hai-dau-noi-nho-trong-tan
ở hai đầu nỗi nhớ (new version)	lê ngọc thúy	o-hai-dau-noi-nho-new-version-le-ngoc-thuy
ơ hay	nguyễn minh hằng	o-hay-nguyen-minh-hang
ơ kìa đời bỗng vui	ngô thanh vân	o-kia-doi-bong-vui-ngo-thanh-van
ô kìa đời bỗng vui	quốc đại	o-kia-doi-bong-vui-quoc-dai
ô kìa em	tạ quang thắng	o-kia-em-ta-quang-thang
ô kìa mộc châu	135 band tống hạo nhiên	o-kia-moc-chau-135-band-tong-hao-nhien
ô kìa mùa xuân về	dj tus	o-kia-mua-xuan-ve-dj-tus
ô kìa xuân	pha lê	o-kia-xuan-pha-le
ô kìa xuân	thanh thanh	o-kia-xuan-thanh-thanh
ô kìa, xuân đang về	dk lâm nguyên hy	o-kia-xuan-dang-ve-nguyen-hy-dk-lam
ô kìa! đời bỗng dưng vui	bé ngọc ngân	o-kia-doi-bong-dung-vui-be-ngoc-ngan
ở kiếp sau anh vẫn yêu em	lương nhất cường	o-kiep-sau-anh-van-yeu-em-luong-nhat-cuong
ở kiếp sau anh vẫn yêu em	nguyên chấn phong	o-kiep-sau-anh-van-yeu-em-nguyen-chan-phong
ở lại	hùng thanh	o-lai-hung-thanh
ở lại	kasim hoàng vũ	o-lai-kasim-hoang-vu
ở lại (người ngoài đường p2)	zenky	o-lai-nguoi-ngoai-duong-p2-zenky
ở lại bên em	hana phan hân	o-lai-ben-em-hana-phan-han
ở lại ta đi	diệu hương	o-lai-ta-di-dieu-huong
ở lại ta đi	quang dũng	o-lai-ta-di-quang-dung
ở lại và ra đi	châu gia kiệt	o-lai-va-ra-di-chau-gia-kiet
ở lại và ra đi	huy dinh	o-lai-va-ra-di-huy-dinh
ở lại và ra đi	ngô trác linh	o-lai-va-ra-di-ngo-trac-linh
ở lại và ra đi	tần khánh	o-lai-va-ra-di-tan-khanh
ở lại với con	datmaniac	o-lai-voi-con-datmaniac
ở lưng chừng hạnh phúc	hamlet trương quách lê anh khang	o-lung-chung-hanh-phuc-hamlet-truong-quach-le-anh-khang
ô ma ma	lâm chí khanh	o-ma-ma-lam-chi-khanh
o macdonald had a farm	cao lê hà trang	o-macdonald-had-a-farm-cao-le-ha-trang
ô mai mộng mơ	võ hạ trâm	o-mai-mong-mo-vo-ha-tram
ô mê ly	ánh tuyết	o-me-ly-anh-tuyet
ô mê ly	bé phương nhi	o-me-ly-be-phuong-nhi
ô mê ly	bùi tuyết mai	o-me-ly-bui-tuyet-mai
ô mê ly	lê ngọc thúy	o-me-ly-le-ngoc-thuy
ô mê ly	miu lê	o-me-ly-miu-le
ô mê ly	nguyên nhung	o-me-ly-nguyen-nhung
ô mê ly	nhiều nghệ sĩ	o-me-ly-ngoc-anh-tran-thai-hoa-don-ho-thanh-ha-the-son-nhu-quynh
ô mê ly	nhóm f5	o-me-ly-nhom-f5
ô mê ly	nhóm nam việt	o-me-ly-nhom-nam-viet
ô mê ly	yên nhiên	o-me-ly-yen-nhien
